refTime,beginTime,endTime,labeledSentence,Comment,ETU
2/1/16 0:00,2/1/16 0:00,2/2/16 23:59,Today_ETPDS Only : Get Your First Outfit For $25,,
2/2/16 0:00,2/2/16 0:00,2/8/16 23:59,Offer expires in 7_TDPN days._TDSS Exclusions apply. Discount taken at checkout. See disclaimer for details.,,
2/3/16 0:00,2/3/16 0:00,3/4/16 23:59,Free Shipping + Free Returns every day_TPRD ,,
2/4/16 0:00,2/4/16 0:00,2/11/16 23:59,Preferred Customer Private Sale - Thursday_ETPDS Feb._ETPMS 11_ETPDN -To redeem use code TODAY at checkout.,,
2/5/16 0:00,2/5/16 0:00,2/5/16 23:59,Today_ETPDS Only,,
2/6/16 0:00,2/6/16 0:00,3/7/16 23:59,All Day Every Day_TPRD // Free Shipping Over $75,,
2/7/16 0:00,2/7/16 0:00,2/15/16 23:59,LIMITED_TDPS TIME_TDSS -In-Store & Online -Presidents'_TDPS Day_TDSS Event -ALL CLEARANCE NOW $9.99,Test,
2/8/16 0:00,2/8/16 0:00,2/9/16 23:59,RESTRICTIONS APPLY . LIMITED_TDPS TIME_TDSS ONLY .  GET STARTED,,
2/9/16 0:00,2/9/16 0:00,2/15/16 23:59,WELCOME TO THE TEAM  Now you'll be in the know about all the stuff you love: new arrivals upcoming sales and can't-miss in-store evetns. Plus here's a little treat on us.  ONE_TDPS WEEK_TDSS ONLY  TAKE 10% OFF YOUR PURCHASE  ONLINE OR IN STORES  Your friends TEAM ATHLETA  HERE'S YOUR CODE:,,
2/9/16 0:00,2/9/16 0:00,3/9/16 23:59,Valid for one-time use online & in store . Expires 30_TDPN days_TDSS after receipt . In store: Present email at checkout.,Test,
2/10/16 0:00,2/10/16 0:00,2/11/16 23:59,Orders placed before midnight_ETPHS on Thursday_ETPDS using overnight shipping are guaranteed delivery before Valentine's Day or visit us in stores.,Test,
2/10/16 0:00,2/10/16 0:00,2/12/16 23:59,Ends February_ETPMS 12_ETPDN th 2016_ETPYN,,
2/11/16 0:00,2/11/16 0:00,2/11/16 23:59,1_TDPN DAY_TDSS LEFT:  Take $25 off $200 with code CR25OFF.  online only !,,
2/11/16 0:00,2/11/16 0:00,2/13/16 23:59,3_TDPN days_TDSS Only,,
2/11/16 0:00,2/11/16 0:00,2/15/16 23:59,PRESIDENTS' DAY SALE -Now_BTPHS Thru Monday_ETPDS Feb._ETPMS 15_ETPDN  -Suits & Sportcoats On Sale -BUY 1 GET 1 FREE,,
2/11/16 0:00,2/11/16 0:00,3/12/16 23:59,FREE SHIPPING. FREE RETURNS. ALL THE TIME. Details below.,,
2/11/16 0:00,2/11/16 0:00,2/12/16 23:59,Ends February_ETPMS 12_ETPDN th 2016_ETPYN,,
2/11/16 0:00,2/11/16 0:00,2/15/16 23:59,Online & in stores ends Monday:_ETPDS Entire store $25 or less. Excludes clearance and Brands We Love . While supplies last.,,
2/11/16 0:00,2/11/16 0:00,2/12/16 23:59,Navy Tasmanian Tux _ Feb_ETPMS 12_ETPDN,,
2/11/16 0:00,2/11/16 0:00,2/15/16 11:00,Monday_ETPDS February_ETPMS 15_ETPDN 11_ETPHN : 00_ETPmN am_ETPAP EST_ETPZ,,
2/11/16 0:00,2/11/16 0:00,2/12/16 23:59,Limited_TDPS Time_TDSS Sale Events Powered by HauteLook,,
2/11/16 0:00,2/11/16 0:00,2/15/16 23:59,BUY ONE GET ONE FREE CHOOSE FROM 6 STYLES  HURRY WHILE THEY LAST!  ENDS MIDNIGHT_ETPHS MONDAY_ETPDS 2_ETPMN / 15_ETPDN,,
